2275 116617
2 692 3
1 1121 1798
2 569 3
1 327 1571
1 22 1187
2 1469 9
2 676 6
1 1306 1817
1 537 1219
1 449 2078
2 2241 3
1 721 994
1 626 1462
2 1646 4
2 1321 3
2 1154 3
1 444 1424
1 1085 1195
2 687 7
1 556 1773
2 1920 9
1 885 1620
1 735 1315
1 7 829
2 29 5
2 1478 9
2 2222 5
1 633 1357
2 1408 3
1 1450 1497
2 1706 6
2 1986 5
2 2216 4
2 1902 10
2 800 9
1 262 952
1 707 1145
2 2090 2
1 474 648
2 123 4
1 1129 2124
1 721 1324
1 250 1790
2 544 6
2 1291 2
1 1249 1827
1 911 1757
2 682 5
1 389 1422
2 20 5
2 1584 7
2 725 2
2 1287 7
2 1139 5
2 50 9
2 1766 8
1 459 1815
1 1628 2216
1 2041 2084
2 1157 6
2 416 5
2 79 8
2 366 1
1 655 1495
1 1070 1145
2 1413 3
2 404 5
2 1334 8
1 514 1635
2 130 7
2 1167 7
2 504 9
2 856 7
2 609 4
2 1381 1
1 1330 1378
1 1737 1829
2 2273 5
2 573 1
1 749 1517
1 998 2121
2 859 10
1 1720 2210
2 961 
